accessory,decision_axis,required_value,parent,relation,note
볼핏 45mm,다리끝규격,45,없음,N:M,"가격 20000원(4ea/set). 코트레그(12pcs)·스피드스툴S·스피드스툴M과 체결 가능하나 비권장(각주 원문: 헬리녹스 볼핏과 체결이 가능하나 권장 사항은 아님)."
볼핏 55mm,다리끝규격,55,없음,N:M,"가격 20000원(4ea/set). 코트레그(16pcs, 추정)·벤치원과 체결 가능하나 비권장(위와 동일 각주)."
비브람 볼핏 45mm,다리끝규격,45,없음,N:M,"가격 31000원. 호환 로직은 볼핏45mm과 동일(컬러웨이 아닌 별도 상품 취급, 일반 대비 55% 비쌈, 고무 아웃솔)."
비브람 볼핏 55mm,다리끝규격,55,없음,N:M,"가격 36000원. 호환 로직은 볼핏55mm과 동일."
퍼스널쉐이드,폴직경,13.0mm;14.5mm;15.6mm,없음,N:M,"가격 143000원대(정확 미확인). 몰드 3종에만 대응, 그 외 폴직경 모델은 미대응. 패킹 무게 0.44kg."
그라운드시트 One,풋프린트제품군,One,없음,N:M,"해결됨(2026-08-18) — 공식몰은 인치 사이즈가 아니라 One/Two/XL 등 의자별 명칭 그대로 판매(사용자 재검증, rules.md:276-281)."
그라운드시트 One(re),풋프린트제품군,One(re),없음,N:M,위와 동일 해결.
그라운드시트 Two,풋프린트제품군,Two,없음,N:M,위와 동일 해결.
그라운드시트 XL,풋프린트제품군,XL,없음,N:M,위와 동일 해결.
그라운드시트 Sunset,풋프린트제품군,Sunset,없음,N:M,위와 동일 해결.
그라운드시트 Zero,풋프린트제품군,Zero,없음,N:M,위와 동일 해결.
그라운드시트 Swivel,풋프린트제품군,Swivel,없음,N:M,위와 동일 해결.
락킹풋 One,제품군,One,없음,N:M,"가격 48000원. (re)/One/Two/XL 옵션 통합 판매(단일 상품 내 옵션 선택)."
락킹풋 One(re),제품군,One(re),없음,N:M,위와 동일 상품의 옵션.
락킹풋 Two,제품군,Two,없음,N:M,위와 동일 상품의 옵션.
락킹풋 XL,제품군,XL,없음,N:M,위와 동일 상품의 옵션.
컵홀더(플라스틱),모델별,해당없음,없음,N:M,"모델별 O/X는 chairs.csv의 cupholder 컬럼 참조. 스키마상 3상태(전용/사용가능/없음) 허용하나 '사용가능' 사례는 현재 데이터에서 미발견 — 전부 전용 또는 없음."
사이드스토리지,디자인라인,택티컬,없음,N:M,"택티컬 라인 웨빙 부착 전용. 아웃도어·HDB 불가 — 라인이 호환을 가르는 것으로 확인된 유일한 사례(나머지 축은 전부 프레임이 결정)."
코트레그 12pcs,코트등급,코트원,없음,1:1,"코트원 계열 4개 모델(cots.csv: COT1-OUT-NEW/OLD/LT/INS) 전부 호환. 라이트 코트는 공식 확인된 호환 불가(cots.csv:COTLITE-OUT-STD). 볼핏 45mm 결합 가능(비권장, 위 각주 참고)."
코트레그 16pcs,코트등급,코트맥스,없음,1:1,"해결됨(2026-08-18) — 코트맥스 계열 2개 모델(cots.csv: COTM-OUT-OLD/NEW) 전부 호환, 공식 확인. 볼핏 사이즈는 여전히 미확인(아래 볼핏(코트레그용) 55mm 행 참고)."
코트텐트,코트등급,코트원,없음,1:1,"코트원 컨버터블은 코트원의 풀네임(이전 대화에서 확인) — required_value를 '코트원'으로 정규화. 코트원 계열 4개 모델(cots.csv: COT1-OUT-NEW/OLD/LT/INS) 전부 O로 표기됨(공식 확인). 코트맥스·라이트는 코트텐트 언급 없음 — 불가로 처리."
볼핏(코트레그용) 45mm,다리끝규격,45,코트레그 12pcs,1:1,"2단 체인 — 코트원에 직접 안 붙고 코트레그를 거쳐야 함. 비권장 체결(위 각주)."
볼핏(코트레그용) 55mm,다리끝규격,55,코트레그 16pcs,1:1,"[미검증] 45mm/12pcs 패턴에서 유추한 값. 코트맥스 코트레그(16pcs)에 실제로 55mm가 맞는지 공식 확인 안 됨 — 매장에서 실물 대조 필요."
테이블탑,테이블사이즈,[미확인],없음,N:M,"실존 확인됨(2026-08-18) — HDB(홈데코) 라인 소속 액세서리. 아웃도어 라인에서는 판매 확인 안 됨(이 프로젝트가 아웃도어 전용이라 범위 밖). 앞서 tables.csv의 '테이블원 하드탑'은 이것과 다른 제품 — 완제품 변형이지 교체형 상판이 아님. HDB 라인 수집 전까지 required_value [미확인] 유지."
헤드레스트(Air),성격블록,하이백,없음,N:M,"해결됨(2026-08-18) — 실존 확인. 하이백 블록 11개 모델 전부 호환(체어제로 하이백은 원래 하이백 블록이 아니라 경량이므로 별도 제외 불필요, T01 규칙과 자동 일치). 사용 시 크기 L50×H23cm. 무게 85g. 가격 [미확인]."
헤드레스트(Air+Foam),성격블록,하이백,없음,N:M,"해결됨(2026-08-18) — 실존 확인. 호환 대상은 위 Air와 동일(하이백 블록 11개). 사용 시 크기 L50×H23cm. 무게 185g(Air 대비 2.2배). 가격 [미확인]."
