group_id,member_id,note
TWIN1,SUNS-OUT-STD,선셋체어=캠프체어. 5축 완전 동일(볼핏55/그라운드시트Sunset/락킹풋XL/쉐이드14.5/컵홀더전용). 원본 26모델 호환표에서 직접 확인됨.
TWIN1,CAMP-OUT-STD,동일 그룹 — 단종이므로 대체 판매 안내용으로 사용.
TWIN2,BCH-OUT-STD,비치체어=비치체어(re)=플라야. 5축 동일(전부 없음, 퍼스널쉐이드만 O). 사용자 직접 확인 발언 기반.
TWIN2,BCH-OUT-RE,동일 그룹.
TWIN2,PLYA-OUT-STD,플라야는 5축 자체가 [미확인](단종·실측 없음) — 이 그룹 소속은 추정이며 사용자 확인 발언에는 포함되지 않았음.
TWIN2_확장후보,BCH-OUT-MSH;BCH-OUT-MSHRE,메쉬 변형도 동일 축(전부없음+쉐이드14.5) 보유 확인됨. 다만 사용자가 TWIN2 그룹에 명시적으로 포함하지 않아 별도 표기 — 실질적으로는 같은 패턴.
TWIN3,CHR1-OUT-MINI,체어원미니=스피드스툴S. 5축 동일(볼핏45만 O, 나머지 전부 없음).
TWIN3,SPDS-OUT-STD,동일 그룹 — 단종.
LT1,CHRZ-OUT-STD,체어제로↔체어제로LT. 5축 전수 대조 실측 검증됨(100% 일치) — LT 관계 전체의 유일한 실측 앵커.
LT1,CHRZ-OUT-LT,동일 그룹(자식). 부모 대비 무게 3.1% 감소, 패킹부피 48.1% 증가.
LT2,CHR1-OUT-STD,체어원(신형)↔체어원LT. 볼핏45mm만 사용자 실측 확인. 나머지 4축(그라운드시트·락킹풋·쉐이드·컵홀더)은 상속 규칙 추정(직접 검증 안 됨).
LT2,CHR1-OUT-LT,동일 그룹(자식). 부모 대비 무게 13.5% 감소.
LT3,SUNS-OUT-STD,선셋체어↔선셋체어LT. 5축 전부 상속 규칙 추정(사용자가 "스킨 외 전부 상속" 명시, 개별 실측 없음).
LT3,SUNS-OUT-LT,동일 그룹(자식). 부모 대비 무게 14.7% 감소, 패킹부피 13.0% 증가.
LT4,COURT1-OUT-NEW,코트원 컨버터블(신형케이스)↔코트원 컨버터블LT. 실측 검증됨(2026-08-18) — 패킹 사이즈 15x53x14로 완전 일치해 부모가 신형케이스임을 확정. 패킹무게 6.3% 감소(2230g→2090g). LT 관계 전체의 두 번째 실측 앵커(첫 번째는 LT1 체어제로).
LT4,COURT1-OUT-LT,동일 그룹(자식). 코트등급·코트레그·코트텐트 호환 축은 부모와 완전 동일.
STANDALONE,TBLZ-OUT-LT,"부모 없는 유일한 LT. 실측 확보됨(2026-08-18, tables.csv:TBLZ-OUT-LT) — 무게 254g/내하중 10kg으로 전 라인업 최경량·최저하중. 같은 이름의 비LT '테이블제로'는 tables.csv 8개 중에도 없음(테이블원과는 별개 계열) — ""LT=항상 부모 있음"" 규칙의 유일한 예외로 재확인."
